03DB03A9	hercules dalianis
7F77E8AA	terence chan
7F82956A	huomin dong
7F8C308E	gabriela ferraro
7FAC8536	stephen gould
7FCC81AE	chengfei liu
7FCF68F7	h j wong
7FD73B3C	joel b montgomery
7FDE8F48	muhammad khalid
8136BE24	adi botea
81476951	cherkeng heng
817994E5	bomin jiang
819DD1D5	m h williams
82F4CEE5	yu pan
83970CFE	gerald friedland
8459982C	terry caelli
8480522B	shyam sundar rajagopalan
84D8106C	chris pelling
85869179	jin gao
861DB0C1	yongmin zhang
0E4BAC1B	hakki can karaimer
11C7A6DA	azer bestavros
14869486	francesco bullo
2407063F	douglas sheil
24857087	kaarin j anstey
48BCA33F	holger averdunk
4BAE4CF5	steven schockaert
50C0DDA8	yee whye teh
707A3D78	tom gedeon
75AF76C6	conrad j burden
765E8B88	michael rotkowitz
7753036C	prashan premaratne
779B6C78	risi kondor
77EB8197	olaf delgadofriedrichs
78B7F361	l obrien
792B741C	j wongleung
794B6FDA	ezio malis
797E9786	azamossadat hosseinzadeh salati
7A93BC0E	enrico costanza
7AB53399	faisal mufti
7B57ABB5	paul tregoning
7CD490FE	b azvine
7D699A99	geoffrey stewart morrison
7D6FA77D	alistair riddell
7D7C0E09	sylvain bertrand
7DA446B9	zhiying wang
7DAB477B	bangu vo
7DF3D122	jesse wu
7E8BA5A3	maria e orlowska
7EA373E2	bijan rohani
7EB00B90	han lung
7EC4878C	shantanu h joshi
7ED42503	rainbow cai
7F347E96	michael wagner
7F84E10F	indra kurniawan
80FAEA03	jie dong
813DC176	vanessa robins
838DF11F	premananda indic
83B53B7B	phil tickle
83D873AF	hanyang tong
840A7B03	sid l huff
84AA6551	m v srinivasan
858DF3AF	james f montgomery
02FA452F	edoardo apra
061EA437	massila kamalrudin
0AB9EC65	ofer zwikael
0E3E8775	worapan kusakunniran
553EBAC7	alejandro piadmorffis
6CA7B668	franc ivankovic
72C61DDB	mohammad esmaeilzadeh
75D20539	mohamedslim alouini
760F1C9D	soren sonnenburg
7687D371	n cronin
76DFA238	jiri jaros
77F7EB40	klausrobert muller
78F3983A	h vincent poor
7A9D3864	peter vamplew
7B46F4EE	marc pollefeys
7C151404	m caldera
7CC4AED2	pierreantoine absil
7D2FEE82	guoliang chen
7D33E765	james southern
7D47974A	zhenning shi
7E5E58F8	shi bai
7E8731D5	yuntao qian
7F37C00D	xiaoqin zhang
7F483854	shuk ying ho
7F7FADA5	chris allen
7FA18BD7	yue liu
7FB041B3	richard p alexander
7FB49D51	andreas bauer
7FF28B3F	ken c taylor
8038ABBC	qiang wu
804F635C	jorg raisch
805514FE	jared cope
81607073	ming cao
81730275	kun he
81B3D1C8	wi bing tan
820AD76A	c w johnson
822200BF	roberta allsman
8289E7B1	yong haur tay
82F7B0A4	gareth loy
83538503	yi li
83EFF601	michael j anderson
848944AF	andreas bauer
849D5E33	sophie oustrieres
84DEB1E9	yuanzhi wang
8516D596	david han
8550DDD4	paul s thomas
855B9F87	matthew a addicoat
0AB9ADF0	hani mehrpouyan
0E3DAE9C	behrooz nasihatkon
269A0DA0	jussi rintanen
2AC1AE2D	pascal bihler
48CD645D	warwick graco
4976FD4B	l a i wyborn
67123E16	thorsten bormer
74C2D680	mamoun alazab
7529A7DB	zoltan l ovari
7545D163	linda stals
7B26C6CF	martin hirzel
7C8F27A3	dario garciagarcia
7D2154C8	christoph h arns
7D364170	fabien spindler
7D6D7DA4	qing liu
7D87B7DC	changbin yu
7D8DB6F5	wen zhang
7DE8B416	viktor k decyk
7E3485CB	subhrakanti dey
7E5F5FB2	paul d teal
7E62EFC1	xixiang yang
7E75AFF1	robert m davison
7E825274	perminder s sachdev
7E988C0D	tingting zhang
7EB43D16	rohini marathe
7EBD82A2	y richard yang
7EC63273	zhiheng huang
7F640F4F	lizhe wang
7FA03FF3	robert j harrison
7FABBEB2	doug burger
7FE27B3A	wei yang
80519533	huizhi liang
805C9661	soren frank
8065F930	changsheng xu
8082E79B	sanjiang li
80E8D83F	changhung yu
812855F0	mark schmidt
814D539D	stephen jay gould
838DC75E	p r munroe
847C77D5	sergey i salishev
8556CD30	wei chen
86136D6E	maurice nevile
862CEC25	d e smith
012804D4	jerome darmont
0C26F2F9	bjarne steensgaard
109EB0E7	sarah l hickmott
137A02F1	gary overett
29AFE035	alex sprintson
4908FAFF	xavier sirault
738444F7	samer m abdallah
75BF98B8	jyrki kivinen
762EF23E	d p shepherd
7840BCBF	darius braziunas
7D397880	lexing xie
7D3E39C2	hans burkhardt
7DB5C2E3	nicholas e wilson
7E10BF2F	maojun cao
7E23ADF4	zhiyong sun
7E420585	he zhang
7E859FFF	v k murthy
7ED14A94	s mcclusky
7ED69883	li cheng
7EE5B668	matthias westphal
7EFE31CB	samuel p drake
7F1E5476	glenn platt
7F9CBD1D	henry gardner
7FCE30EC	rittwik jana
8090F01A	k b ngo
809EF1E6	william w armstrong
80B7687B	masahiro yanagisawa
80F1389F	emery n brown
830C8BFF	jon baxter
832DE855	duncan
844697BE	f pizlo
84F708D9	philip blackwell
8544F7A8	thomas jacob
8552BF3C	lei wang
857108EB	marshall shepard
862BB826	ranald clouston
0E29D41C	nicolas ceynowa
0F7D2A91	karl goiser
117C26D3	saadan zokaei
1276B8F7	neda aboutorab
17C553CF	bernd funovits
492E64F5	c d helon
722AA586	ramani duraiswami
731E0C41	thushara d abhayapala
750A29F5	helja lundgrenlaine
75C738AD	s m krasnoshtanov
77A287EA	asim khwaja
77AC477F	lieven eeckhout
79055AD5	markus friberg
790EFED0	thomas moor
79A9C653	claire trenham
79EDCC0A	joao m b carreiras
7A1D6985	robert orsi
7BEF96EE	avraham ruderman
7CF34A96	karl e weber
7D12D87D	t s jones
7DF4889F	kevin k w ho
7E11CEB4	adele f scott
7E5C59A8	naoki katoh
7E9613D0	alfredo gabaldon
7F0B8CA2	jingjing xiao
7F3C2AF3	lu qin
7F66C61A	min zhang
7F6C3BF1	chee seng chan
7FB03801	tina t zhou
7FEC140B	tengfei liu
802F0F45	jitao sang
8043BA9A	xiping jia
8151B5A4	yuchao dai
820F2D18	armin haller
82C623B7	lars petersson
831F0572	p ioannou
83F52A9B	jie cai
84A63014	andrew zhang
84CBEF1F	carlos xudiera
851536E4	jing guo
857C78EA	bob edwards
3DABAD7D	robert mahony
751B98BD	michael r hush
7572E010	s v n vishwanathan
758EC809	alexander j smola
773A4F79	alexander lanzon
78A49DBF	e v krishnamurthy
797E64DF	duc nghia pham
799B7674	guoqiang mao
79E2BEE3	mayank daswani
79FA81F7	xiaoyuan ta
7BCD4888	damien mcaullay
7C51A42F	frank allgower
7C63EA5C	hui ke
7D6A3AEC	ali a nasir
7DE646C6	zhiheng niu
7E532AFA	vinayaka pandit
7E9019A5	nandita sharma
7F291B06	weifa liang
7F8743E8	surya prakash
802AE5FD	lachlan horne
80338533	michael wagner
807FB87B	rene vidal
810335CA	pascal morin
816326DE	zijie zhang
8173BC13	bianca haberl
81767819	yanyan shen
84966348	alice p bates
84ACEEDE	richard hartley
84FFBC5A	miles de la hunty
850BCA57	philip ogunbona
85875457	j r chen
862569F2	lachlan blackhall
8635F951	mohommadali mohammadi
0D2355A6	roland p malhame
17CD8919	abdesselam bouzerdoum
29CBEC38	iain h woodhouse
7264CADD	markus hegland
75DE5993	bruno herisse
77858FE9	minoru hokari
798564C4	bernhard beckert
7C2896F6	nail akhmediev
7D7A16AC	jian zhang
7E15454C	mark r pickering
7E1D46B2	kathryn s mckinley
7E527AF4	m williams
7E60ABC3	kai cai
7E6AEC4F	zeyu shen
7E85FCE1	woods wang
7EE2DAF6	janchristoph kuster
7EEF2CB9	richard g jones
7EFACBC3	seokhee hong
7F397378	josh milthorpe
7FF377E1	michael haupt
80199B7C	james lam
8092AAEF	zibo miao
80F26290	jiaolong yang
810DD945	kenneth chiu
8259C5DD	j c tsai
828A42AD	jingbo wang
828D391F	guyin zhou
82A6CA68	s j dury
82B13663	bill clarke
8480EF4E	peter radoll
02384EEE	david hawking
043F0A1C	ian lintault
13EE292D	saul thurrowgood
456E1F94	veysel gazi
51676C60	edward t a mitchard
6EBC0B59	tim wark
7221F66B	yee harn teh
73BF98F2	behjat siddiquie
755C5E7C	j bruce millar
76D381C5	elena kelareva
77B3979A	d fink
7C0B8AB9	dimitrios tsifakis
7CB8D901	mustafa tumen
7CFC48D6	g r booker
7D006E58	yuhang zhang
7D165EB2	charles l a clarke
7D1A0C2E	anika schumann
7DD27AEA	thanh tin tang
7DD75C38	yung chung wei
7E052CD4	ke zhang
7EA0CDC9	daniel feinberg
7F1E47EA	leana copeland
7F21E482	shayne flint
7F2CA808	anila sahar butt
7F74F77B	richard hartley
7FD50A31	liu tengfei
7FF31277	irene moser
8007ACFE	mahta moghaddam
8129D063	andrew walker
81439917	shengbo guo
816F9651	jiugen shi
835A0430	xiaojun shen
83C57563	niall rooney
83DEB6B5	ran wei
848BDCF7	wetian chen
849AC409	ahmed a alhabob
852F5EE9	torben schou
09ECC9F4	helen allvin
17F705BE	sandra h dandach
221CA475	nassir navab
3B3E4262	thilina ranbaduge
6D5E6D01	nicolas becu
72729184	tzvetan ivanov
7576F1A4	roman pflugfelder
78AC0FED	s z sayed hassen
7997F4AC	stuart hungerford
7C009899	v ganesh
7CB4A8FE	uwe helmke
7D73061E	peng yang
7D94A3D2	graham j williams
7DE20894	chris mccarthy
7E3BCDDB	m l williams
7ECB4025	xi wen
7F07B274	j s williams
7F0AD1F7	diana glazebrook
7F3237CC	ni ding
7F42987A	hongdong li
7F88E8DB	kevin osborn
7F9BDD2C	yasemin altun
7FFD914A	yun zhai
8016AAA6	arkady zaslavsky
8034FBC3	xu xu
80E67255	riccardo barbieri
8118216B	sung h cha
815180AE	xiaobing wu
835065E4	hoa tran
839462AB	andrew over
83C358BC	usman qayyum
8479702B	jia fang
84FAEF85	liangliang cao
8517888F	mohammad najafi
8634B94B	v t rajan
00617221	jochen zeil
03E25734	iain mccalman
052A37BC	linas baltrunas
0B015DE9	yannick pencole
1009CC07	yves barral
11DEABE8	behzad bozorgtabar
45E7C478	azwirman gusrialdi
4A18EA4C	j m pflimlin
7541F84C	j f milthorpe
75B6BCD7	c jagadish
76F614D7	yibeltal f alem
79887B66	salman durrani
7A173F7B	srinivas sridharan
7B2ACECD	paul wong
7CCEA000	steve blackburn
7D498AA7	john gough
7D5C6A9B	fangyuan chen
7D5DB737	jing liu
7D677635	matthew gray
7D6BFBA3	junming wei
7D92D46C	lei wang
7E0706FD	ben wiedermann
7ED7086B	sara w lazar
7EFED7A4	gareth loy
800951E3	marieke huisman
8016A08B	jeffrey fisher
8057FC92	jim procter
805C7AA8	philip kilby
80640EE0	gucan long
80CACBE1	qinfeng shi
80D62CB3	michel gevers
814B0AE5	krystian ji
82E322C6	rowena ball
83174548	chintha tellambura
83C7C492	s l mendelson
8490299B	s w zhang
84B0A5ED	g piova
856C90AF	x marquez
85CC3ADA	mike jia
863ADCF4	m r james
0E540221	brenan j mccarragher
1228C409	andrey v savkin
180FD663	a d s jayalath
5970A695	clemens kupke
760012C1	simon gunter
76019E17	francoisxavier russotto
775C23C7	jiang zhongping
78003AF9	eric mccreath
785824B8	mark a knackstedt
78652419	david k goldenberg
78BF4E87	timothy baldwin
7A21A2CE	justin bedo
7B85ED67	g j kramer
7C4E2F48	tatiana semenova
7CC1CDF4	richardson n leao
7CF9FA2F	wenhua dou
7D64E170	alex ip
7D8C2B05	kit devine
7DBD461A	rui zhou
7DDF9EB7	zhao jun
7E1CD4D5	daniel h chae
7E2CF23A	jywefei fang
7E8BB4EA	hanchi chen
7EB7350F	shaoshuai mou
7F42DB75	zhichun fu
7F44567D	r g hartley
7FC01BD3	sheng liu
7FF903A4	roger hillman
80E380EF	jiping liu
80F26A4A	bo li
81182FFA	lijun cao
82B4D3ED	sara maher
84D15A0B	yu changbin
84DF421C	thalaiyasingam ajanthan
0ECCB023	simon
128F3727	novi quadrianto
145D128F	patrik haslum
1A9F6AD6	sanna salantera
5F7EEE45	abeje y mersha
6302355A	christian lageman
653E25FB	stephan fasbender
70C4BD11	alireza khosravian
75F7D1F9	anne cregan
778AE292	robert lesslie
7D1ABDCC	a jones
7D3A69B6	darren b ward
7D6AE16A	mandyam v srinivasan
7D9D3DA9	miaomiao liu
7E0A5F69	john grundy
7EFA0B00	a p haller
7F9D751D	james a thomson
7F9F906D	kristy sim
7FAC1C43	leila alem
7FB810C7	kathleen m griffiths
7FC0BD60	adrien bartoli
7FC0FB7C	zhen he
7FD63CC0	nicj barnes
8008EF7E	jiahu qin
8037732C	fangfang lu
8087B7D7	arnon friedmann
80BA5DC8	j eliot b moss
80DF2333	dat tran
80DFADF2	jing yao
80E63006	huibo ji
837B8E75	abed malti
84356973	john hosking
8542FA6D	rollin omari
85602FB6	john oliensis
0FE83577	r h nobes
102B2AC1	stefano stramigioli
